value,n
4th_dimension,1
514_lbs_233_kg,1
515_lbs_234_kg,1
52_lbs_236_kg,1
535_lbs_243_kg,1
548_lbs_249_kg,1
5618_lbs_2548_kg,1
56_lbs_254_kg,1
56_lbs_25_kg,1
57_lbs_259_kg,1
598_lbs_271_kg,1
59_lbs_268_kg,1
59_lbs_27_kg,1
5_11_3,1
5_11_8_1,1
5_1_8_4_as_indestructible_man,1
5_1_as_stein_6_2_as_firestorm,1
5_1_walker_7_5_loose_cannon,1
5_2_8_1_as_rampage,1
5_3_2,1
5_3_3,1
5_4_1,1
5_4_6_1_in_adult_form_2,1
5_4_6_2_6_3_in_adult_form,1
5_4_6_2_in_adult_form,1
5_5_variable_as_byte,1
5_6_1,1
5_6_6_as_blackrock,1
5_6_9_2_with_experimental_venom,1
5_7_3,1
5_7_as_buddy_blank_6_5_as_omac,1
5_8_5_1_as_amy,1
5_9_using_powers_7,1
5_as_peter_porkchops_1_1,1
5_chad,1
5_feet,1
5_heads_1_arms_giant_size,1
5_lbs_2_kg,1
5_miles_long_35_miles_high_and_2_miles_wide,1
5_oz_citation_needed,1
615_lbs_279_kg_2,1
62_lbs_28_kg,1
645_lbs_293_kg_as_mark_141_lbs_141_lbs,1
65_lbs_295_kg,1
665_lbs_3_2_kg,1
666,1
666_lbs_3_2_kg,1
679_lbs_3_8_kg,1
67_lbs_3_kg,1
685_lbs_311_kg,1
686_lbs_311_kg,1
68_lbs_31_kg,1
6_11,1
6_11_1,1
6_1_1,1
6_1_6_6_in_armor_1,1
6_2_5_11_formerly,1
6_2_as_firestorm_6_1_as_raymond,1
6_3_in_height,1
6_3_lbs_274_kg,1
6_4_1,1
6_5_1,1
6_6_6,1
6_7_2,1
6_8_3,1
6_8_variable,1
6_citation_needed,1
6_lbs_3_kg,1
6_legs_two_arms,1
721_lbs_327_kg,1
725_lbs_329_kg,1
752_lbs_341_kg_variable,1
75_lbs_34_kg,1
76_lbs_34_kg,1
785_lbs_356_kg,1
79_lbs_36_kg,1
7_1,1
7_4_as_mark_5_7,1
7_6_2,1
7_8,1
7_approximated,1
81_lbs_367_kg,1
82_lbs_37_kg_at_normal_size,1
845_lbs_383_kg,1
8_3_lbs_364_kg,1
8_4,1
8_5,1
8_lbs_363_kg,1
8_lbs_36_kg,1
8_th_century_b_c_egypt,1
8th_century_europe_asia_and_north_america,1
915_lbs_415_kg,1
92_lbs_42_kg,1
935_lbs_424_kg,1
948_lbs_43_kg,1
97_lbs_44_kg,1
986_lbs_447_kg,1
98_lbs_445_kg_2,1
9_7,1
9_lbs_41_kg,1
a_abandon_merchant_class_vessel_with_mysterious_origins_that_was_discovered_by_jenny_sparks_as_the_authority_s_vehicle_base,1
a_bug,1
a_c,1
a_calculus,1
a_group_of_maltusians_who_left_maltus_in_search_of_new_worlds_eventually_settled_on_earth_and_became_the_leprechauns_of_earth_legend,1
a_hidden_cavern_laboratory,1
a_hwiirdh_paan_a,1
a_i,1
a_i_11,1
a_j,1
a_k_fortesan,1
a_large_city_in_southern_california_within_one_day_s_driving_distance_of_death_valley,1
a_m_a_z_o,1
a_man,1
a_maze_operating_system,1
a_monn_a_mokk,1
a_monn_a_mokk_husband_deceased,1
a_morr,1
a_morr_wife_deceased_sapling_buster_silhouette_quaker_and_blur,1
a_mortal,1
a_r_g_u_s_1_league_of_villainy_task_force_xi_formerly_h_i_v_e_secret_society_of_super_villains,1
a_r_g_u_s_formerly_central_city_police_department_s_t_a_r_labs_team_flash,1
a_r_g_u_s_formerly_justice_league_dark,1
a_r_g_u_s_team_arrowformerly_task_force_x,1
a_race_of_sea_life_born_and_bred_for_war_by_its_ocean_god_drogue_to_assimilate_and_control_planetary_water_bodies,1
a_roth,1
a_s_i_s_formerly_church_of_blood_formerly,1
a_sort_of_frill_around_their_head_displays_their_thoughts,1
a_train,1
aa,1
aagog,1
aalok,1
aarl,1
aarok_3_th_century,1
aaron_cash,1
aaron_helbing_todd_helbing,1
aaron_kuder,1
aaron_lopresti,1
aaron_rayner_father_maura_rayner_mother_deceased_zachary_rayner_uncle_deceased_roderick_snowy_rayner_grandfather_deceased_unnamed_maternal_great_grandfather_deceased_kathleen_aunt_cary_wren_descendant_john_fox_descendant,1
abaddonusian,1
abbakus_1_brainwyrm_1_collector_of_worlds_mind2_pneumenoid_brainiac_one_million_2,1
abbot,1
abby_arcane_stepdaughter,1
abednego_danner_father_matilda_danner_mother_arnold_iron_munro_son_walter_pratt_grandson_unnamed_grandchild_katherine_kate_spencer_manhunter_great_granddaughter_ramsey_robinson_great_great_grandson,1
abednego_danner_grandfather_matilda_danner_grandmother_hugo_danner_father_anna_munro_mother_john_munro_step_father_sandra_knight_phantom_lady_ex_wife_walter_pratt_son_unnamed_child_kate_spencer_manhunter_granddaughter_ramsey_spencer_great_grandson,1
abel_cuvier,1
abel_cuvier_s_muscle,1
abel_owner,1
abel_weathers_father_possibly_deceased_marilyn_weathers_mother_possibly_deceased,1
aberration,1
abhararakadhararbarakh_dr_petrou_professor_zoom,1
abigail,1
abigail_arcane_ex_wife_gregori_arcane_father_in_law_removed,1
abigail_arcane_niece_william_arcane_nephew,1
abigail_cable_abigail_holland,1
abigail_holland_wife_tef_holland_daughter_gregori_arcane_father_in_law_deceased,1
abigail_hunkel_grandmother,1
abigail_kent,1
abigail_last_name_unknown,1
abigail_moorland,1
abin_sur,1
abnegazar_brother_calythos_brother_nyorlath_brother_rath_brother,1
abnegazar_brother_calythos_brother_nyorlath_brother_uthool_brother,1
abnegazar_brother_calythos_brother_rath_brother_uthool_brother,1
abnegazar_brother_ghast_brother,1
abnegazar_brother_nyorlath_brother_rath_brother_uthool_brother,1
abnegazar_brother_rath_brother,1
abner_krill,1
abominable_snowman,1
abra_1,1
abraham_attah,1
abraham_dusk,1
abraham_langstrom,1
abraham_langstrom_father_francine_langstrom_wife_lisa_langstrom_sister,1
abraham_pointe,1
abraham_van_helsing_great_grandfather_unnamed_paternal_grandfather_unnamed_father_madelyn_mother_jack_gold_husband,1
abraxis,1
abriam_wahrman_adoptive_father_deceased_nadjia_wahrman_adopted_grandmother_deceased_dathan_wahrman_adopted_uncle_deceased_egrin_wahrman_adopted_grandfather_deceased,1
absinthe,1
absolom,1
absolom_brother_stewart_chang_father,1
absolom_son_eddie_chang_son,1
absorbancy_boy_zoraz_1,1
absorbascon,1
abu_hallam,1
abu_simbel,1
abysmorphs,1
abyssal_dark,1
abyssma,1
academy_of_arch_villains,1
academy_of_crime,1
acarinus,1
accelerated_man,1
accelerator,1
access,1
accountable_the_child,1
ace_masterson,1
ace_of_clubs_pudge_ace_of_spades_mr_memory_serpent_wild_card,1
acheron_the_demon,1
acheronian,1
achille_destinee,1
achilles_husband,1
achilles_milo,1
achilles_son,1
acid_master,1
acidia,1
aclima,1
acme_city,1
acolytes_of_zoom_formerly_talia_al_ghul,1
acrobat,1
acrobat_formerly,1
activist_editor_s_assistant,1
actor_criminal,1
actor_stunt_man,1
actress,1
actress_criminal,1
actress_fashion_model,1
actress_formerly,1
actress_photographer_model_green_lantern,1
actress_stuntperson,1
actress_teacher,1
acuecucyoticihuati_matlalcueitl_wee,1
ad_zzli_ad_amzz,1
adal_mazin_father_deceased,1
adalgisa,1
adam_atom,1
adam_beechen_allan_goldman,1
adam_beechen_dustin_nguyen,1
adam_beechen_john_semper_jr,1
adam_beechen_ryan_benjamin,1
adam_clay,1
adam_constantine,1
adam_dumas_distant_ancestor_caleb_dumas_ancestor_lord_dumas_father_tabitha_galavan_sister_deceased_silver_st_cloud_niece,1
adam_evans,1
adam_evans_brother,1
adam_ex_husband_mazikeen_daughter_carnivore_son_the_lilim_children,1
adam_father_deceased_eve_mother_abel_brother_deceased,1
adam_father_eve_mother_cain_brother_aclima_sister_and_sister_in_law_jumella_twin_sister_seth_brother,1
adam_father_eve_mother_cain_husband_and_twin_brother_abel_brother_jumella_sister_seth_brother,1
adam_fells,1
adam_glass_cliff_richards,1
adam_glass_federico_dallocchio,1
adam_glass_fernando_dagnino,1
adam_glass_henrik_jonsson,1
adam_glass_jose_luis,1
adam_heller,1
adam_kent,1
adam_kroft,1
adam_one_crow_king,1
adam_sharp,1
adam_strange_sardath_alanna_strange,1
adam_strange_son_deceased,1
adam_strange_son_mark_merlin_son,1
adam_surname_unknown,1
adam_thompson,1
adam_thompson_grandson,1
adannu_fuginaut,1
addie_cramp_mother_deceased_vance_cramp_father,1
addie_vochs,1
adele_benson,1
adele_culp_wife_deceased,1
adele_sister_deceased,1
adelia_ruskin,1
adelia_ruskin_wife_deceased,1
adeline_kane,1
adeline_kane_ex_wife_rose_wilson_daughter_joseph_wilson_jericho_son,1
adeline_kane_mother_slade_wilson_father_rose_wilson_half_sister_joseph_wilson_brother_charles_wilson_grandfather_deceased_unnamed_grandmother_deceased,1
adeline_kane_wilson_adeline_wilson_vigilante_addie,1
adeline_prescott,1
adeline_wilson,1
adjudicator,1
administrator_of_protection_wingman_commander,1
admiral_cerebrus,1
admiral_zod,1
adnan,1
adnan_brother,1
adolf_hitler_i_adoptive_father_deceased_adolf_hitler_ii_adopted_brother_deceased_addie_hitler_adopted_nephew_deceased_kara_clone_deceased_lena_kant_wife,1
adonis,1
adoptive_parents,1
adrasteia,1
adrian_allen_chase,1
adrian_ballard,1
adrian_coyle,1
adrian_veidt_creator_bubastis_genetic_template_deceased,1
adrian_veidt_creator_bubastis_ii_clone,1
adrianna_anderson,1
adrianna_tomaz_sister_deceased_theo_adam_brother_in_law,1
adrienne_roy,1
advance_man,1
advanced_legion,1
adventurer_agent_of_balance_1,1
adventurer_agent_of_order_former_agent_of_chaos,1
adventurer_ambassador,1
adventurer_and_college_student,1
adventurer_artist,1
adventurer_assassin_government_agent,1
adventurer_bank_clerk,1
adventurer_bodyguard_former_teacher,1
adventurer_bounty_hunter,1
adventurer_boxer_retired,1
adventurer_british_army_intelligence_colonel,1
adventurer_businessman,1
adventurer_ceo_of_wayne_enterprises,1
adventurer_college_student_and_government_intern,1
adventurer_conqueror,1
adventurer_criminal,1
adventurer_demon_lord,1
adventurer_engineer_chemist_ballistics_expert,1
adventurer_engineer_former_sidekick,1
adventurer_engineer_scientist,1
adventurer_escape_artist,1
adventurer_escapist,1
adventurer_explorer_scientist_inventor_doctor_of_multiple_disciplines,1
adventurer_farmer_reporter_former_student,1
adventurer_fasion_designer,1
adventurer_fate_of_the_gods_queen,1
adventurer_former_amazon_princess,1
adventurer_former_assassin,1
adventurer_former_bouncer,1
adventurer_former_ceo_of_luthorcorp_publisher_of_the_daily_planet,1
adventurer_former_colonel_of_the_usmc,1
adventurer_former_courtier_slave,1
adventurer_former_emt,1
adventurer_former_exotic_dancer_student,1
adventurer_former_farmer,1
adventurer_former_farmer_reporter,1
adventurer_former_farmer_student_herald_of_the_oracle_1,1
adventurer_former_first_knight_and_chief_adviser_to_lord_s_lyton,1
adventurer_former_first_lieutenant_in_the_us_army,1
adventurer_former_government_agent,1
adventurer_former_international_sports_champion_international_race_car_driver,1
adventurer_former_lighthouse_keeper_king,1
adventurer_former_marine,1
adventurer_former_model,1
adventurer_former_monarch,1
adventurer_former_police_captain,1
adventurer_former_pop_star,1
adventurer_former_prince,1
adventurer_former_professional_criminal,1
adventurer_former_resistance_leader,1
adventurer_former_soldier_criminal,1
adventurer_former_student_and_college_football_player,1
adventurer_former_submissionary,1
adventurer_former_television_reporter,1
adventurer_former_waitress_student,1
adventurer_formerly_accountant,1
adventurer_formerly_artist,1
adventurer_formerly_centurion,1
adventurer_formerly_government_agent,1
adventurer_formerly_professional_criminal,1
adventurer_formerly_reporter,1
adventurer_formerly_student,1
adventurer_formerly_stuntman,1
adventurer_formerly_talon_circus_performer,1
adventurer_freedom_fighter,1
adventurer_fugitive_former_detective_vigilante_serial_killer_prison_inmate,1
adventurer_government_agent_former_mercenary,1
adventurer_government_agent_former_soldier,1
adventurer_green_lantern,1
adventurer_green_lantern_former_police_officer,1
adventurer_historian,1
adventurer_industrialist,1
adventurer_inventor,1
adventurer_janitor,1
adventurer_leader,1
adventurer_leader_of_the_authority,1
adventurer_leader_of_the_elite,1
adventurer_librarian_former_detective_spy,1
adventurer_magician_occultist_musician,1
adventurer_magician_sorcerer,1
adventurer_mercenary,1
adventurer_mercenary_businessman,1
adventurer_mesoamerican_anthropologist,1
adventurer_novelist_formerly_criminal,1
adventurer_occultist_sorcerer,1
adventurer_pet_student,1
adventurer_photographer,1
adventurer_photojournalist_student,1
adventurer_police_forensic_scientist,1
adventurer_political_activist,1
adventurer_politician_former_king,1
adventurer_president_of_the_united_states,1
adventurer_prince_king,1
adventurer_professional_disc_jockey,1
adventurer_protector_of_africa,1
adventurer_queen_former_assassin,1
adventurer_radio_host,1
adventurer_research_engineer,1
adventurer_scientist_former_criminal,1
adventurer_scientist_student,1
adventurer_social_worker,1
adventurer_soldier,1
adventurer_sorcerer,1
adventurer_spirit_of_vengeance,1
adventurer_stage_magician,1
adventurer_student_former_acrobat,1
adventurer_student_former_criminal,1
adventurer_student_formerly_criminal,1
adventurer_student_formerly_government_agent,1
adventurer_super_hero,1
adventurer_teacher_queen_of_the_amazons,1
adventurer_tv_celebrity_former_bank_teller,1
adventurer_u_s_army_major,1
adventurer_vigilante_former_assassin_government_agent,1
adventurer_vigilante_former_businessman_doctor,1
adventurer_vigilante_stormwatch_agent_former_mercenary_former_farmhand,1
adventurer_warrior_former_king,1
adventurer_warrior_harmonia_s_council_of_presidents_member,1
adventurerflorist,1
adventurerformer_nightwatchman,1
adventures_of_superman_tv_series,1
advertising_executive,1
advertising_executive_formerly,1
advisor,1
aeaea_formerly_colchis,1
aegae_his_undersea_realm,1
aegean_coast_greece,1
aegean_coast_greece_1_formerly_dark_multiverse_virginia,1
aello_vega_star_system,1
aeon_protector_from_beyond,1
aero_citadel_trombus_1,1
aero_troopers_formerly,1
aerosian,1
aethra_mother_poseidon_father_aegeus_foster_father_nikos_aegeus_great_grandson,1
aethyr,1
aethyr_switch,1
afa,1
afghanistan,1
africa_formerly_metropolis_smallville_kansas,1
africa_later_midwest_city,1
africagotham_city,1
afterthought,1
agantha,1
agenda_headquarters,1
agent_1_66_1_the_flash_2,1
agent_37_batman_birdwatcher_dicky_boy_gray_son_of_gotham_ric_grayson_robin_talon_red_x,1
agent_asaf,1
agent_diana_prince,1
agent_evans,1
agent_of_chaos,1
agent_of_chaos_1_formerly_spirit_of_wrath,1
agent_of_checkmate,1
agent_of_covert,1
agent_of_darkseid_self_proclaimed_avenging_angel,1
agent_of_destruction,1
agent_of_god_formerly_servant_terrorist,1
agent_of_hydra,1
agent_of_malleus,1
agent_of_system_ebon_former_agent_of_system_amber,1
agent_of_the_bat_angel_of_death_avenging_angel_knightfall_the_voice_that_binds,1
agent_of_the_d_e_o,1
agent_of_the_grey,1
agent_of_the_lords_of_chaos,1
agent_of_the_red_formerly_witch_majordomo_of_faust,1
agent_of_the_time_bureau_literary_agent,1
agent_of_the_world_army,1
agent_scar,1
agent_wax,1
agent_williams,1
agents_of_w_o_n_d_e_r_united_nations,1
agharti,1
agios_nikolaus,1
agnes_ancestor_eddie_thawne_ancestor_deceased,1
agnes_sharp_mother,1
agni,1
agrippe,1
agua_sin_gaaz,1
agw,1
ahk_ton,1
ahl,1
ahn_kwang_jo,1
ahn_kwang_jo_son,1
ahpuch_ah_puch,1
ahri_ahn,1
ahriman,1
ahti,1
ahura_mazda,1
aim_alternate_spelling,1
ainsley_wells_sister_deceased,1
air,1
air_accident_investigator,1
air_force_intelligence_officer,1
air_golem_of_the_east_synthetic_cloud_man,1
aircraft_pilot_adventurer,1
airstryke,1
aix_la_chapelle_frankland_8th_century_a_d,1
ajax,1
ajita,1
ak_var,1
ak_var_father,1
ak_var_father_deceased_tes_ak_var_mother_deceased,1
akando,1
akhlut,1
aknaten,1
aksel_chaz_donen_god_of_strength_jon_clark_parallax_yellow_lantern_superman_blue_superboy,1
al_braverman_father_beryl_braverman_mother,1
al_gordon_joe_phillips,1
al_gordon_keith_giffen,1
al_lobo,1
al_pratt,1
al_s_diner,1
al_stahl,1
al_x,1
aladdin,1
alain_mauricet,1
alan_armstrong,1
alan_brennert,1
alan_brennert_norm_breyfogle_lovern_kindzierski,1
alan_burnett,1
alan_burnett_ed_benes,1
alan_gold,1
alan_grant_dan_jurgens,1
alan_grant_dave_taylor,1
alan_grant_joe_staton,1
alan_grant_keith_giffen,1
alan_grant_kieron_dwyer,1
alan_grant_mark_pacella,1
alan_grant_martin_emond,1
alan_grant_simon_bisley,1
alan_grant_tim_sale,1
alan_grant_trevor_von_eeden,1
alan_ladd_wellington_scott,1
alan_moore_bill_willingham,1
alan_moore_curt_swan,1
alan_moore_dave_gibbons_damon_lindelof,1
alan_moore_dave_gibbons_tom_taylor_mike_s_miller,1
alan_moore_david_lloyd,1
alan_moore_j_h_williams_iii,1
alan_moore_jamie_delano,1
alan_moore_joe_staton,1
alan_moore_steve_bissette_daniel_cerone_david_s_goyer,1
alan_moore_steve_bissette_john_totleben,1
alan_moore_steve_bissette_john_totleben_tom_taylor_bruno_redondo,1
alan_moore_zander_cannon,1
alan_scott_father,1
alan_scott_father_jennifer_lynn_hayden_twin_sister,1
alan_scott_father_rose_canton_mother_deceased_todd_rice_brother_molly_mayne_step_mother_julian_hayden_adoptive_father_myrna_hayden_adoptive_mother,1
alan_scott_father_todd_rice_brother_deceased,1
alan_scott_father_todd_rice_twin_brother,1
alan_scott_husband_jennie_lynn_hayden_daughter_todd_rice_son,1
alan_wayne_great_great_grandfather_deceased_catherine_van_derm_great_great_grandmother_deceased_patrick_wayne_grandfather_deceased_thomas_wayne_father_deceased_martha_kane_wayne_mother_deceased_philip_kane_uncle_deceased_jacob_kane_uncle_gabrielle_kane_aunt_deceased_thomas_wayne_jr_possible_brother_deceased_kate_kane_cousin_elizabeth_kane_cousin_mary_elizabeth_bette_kane_cousin_damian_wayne_son_dick_grayson_adopted_son_jason_todd_adopted_son_tim_drake_adopted_son_see_wayne_family_and_kane_family_for_more,1
alanna_strange_wife_aleea_strange_daughter_deceased_sardath_father_in_law,1
alanna_strange_wife_aleea_strange_daughter_sardath_father_in_law_janey_strange_sister_todd_strange_brother_deceased_bantteir_mother_in_law_adam_strange_ii_descendent,1
alaska,1
alastor,1
alastor_aghini_faud,1
alba_garcia,1
albart,1
albart_great_uncle_britton_uncle_illya_mother_fiona_wife_fatima_daughter_kalunga_son,1
albart_of_ancinar,1
albert,1
albert_al_pratt,1
albert_al_rothstein,1
albert_ferrus,1
albert_inner_king_estranged_husband_albert_jr_son,1
albert_julian_rothstein,1
albert_last_name_unknown,1
albert_lim,1
albert_pratt,1
albert_pratt_biological_father_deceased_mary_james_biological_mother_deceased_john_emerson_adoptive_father_deceased_kate_emerson_adoptive_mother_deceased_neal_emerson_adoptive_uncle_deceased,1
albert_pratt_godfather,1
alberto_reyes_father_bianca_reyes_mother_milagro_reyes_sister,1
alberto_reyes_father_bianca_reyes_mother_milagro_reyes_sister_conchi_reyes_grandmother,1
alberto_reyes_father_bianca_reyes_mother_milagro_reyes_sister_unnamed_grandmother,1
alberto_reyes_father_bianca_reyes_mother_milagro_reyes_younger_sister_alejandro_reyes_grandfather_deceased_elena_leal_maternal_grandmother,1
albertus_eric_grimley,1
albino,1
albion,1
albrecht_strong_son,1
alcaeus,1
alcazar_astral_battleship,1
alchemical_girl,1
alchemist_father_deceased_unnamed_daughteranton_solokov_descendant_darya_solokov_descendant,1
alchemist_would_be_world_destroyer,1
alcides_1,1
alcinoe,1
alcippe_grandmother_deceased_atalanta_great_aunt_hippolyta_mother_antiope_aunt_astarte_aunt_deceased_diana_half_sister_jason_half_brother,1
alcippe_grandmother_deceased_atalanta_great_aunt_hippolyta_mother_zeus_father_antiope_aunt_astarte_aunt_deceased_jason_twin_brother_first_born_half_brother_lennox_half_brother_deceased_milan_half_brother_cassandra_half_sister_siracca_half_sister_ares_half_brother_strife_half_sister_hercules_half_brother_deceased_nubia_half_sister_cassie_sandsmark_niece_see_gods_of_olympus_for_more,1
alcippe_grandmother_deceased_atalanta_great_aunt_hippolyta_mother_zeus_father_glaucus_foster_father_antiope_aunt_astarte_aunt_deceased_diana_twin_sister_hercules_half_brother_deceased_nubia_half_sister_cassie_sandsmark_niece,1
alcippe_mother_atalanta_aunt_hippolyta_sister_antiope_sister_diana_niece_jason_nephew_nubia_niece,1
alcippe_mother_deceased_atalanta_aunt_antiope_sister_astarte_sister_deceased_diana_daughter_jason_son_nubia_daughter,1
alcippe_mother_deceased_atalanta_aunt_hippolyta_sister_astarte_sister_deceased_diana_niece_jason_nephew_nubia_niece,1
alcippe_sister_deceased_hippolyta_niece_antiope_niece_astarte_niece_deceased_diana_great_niece_jason_great_nephew,1
alcmaeon,1
aldar,1
alden_quench,1
aldous,1
alec_mcginn_birth_name_dr_alec_holland_legal_name,1
alec_rois,1
alecto,1
alecto_megaera_sisters,1
alecto_tisiphone_sisters,1
aleistair_huston_husband_deceased_ruth_huston_daughter_deceased_albert_huston_son_deceased_unborn_child_aborted,1
alejandra_cortez,1
alejandro_cousin,1
alephian,1
alera,1
alessandra_fermi,1
alessandra_fermi_sister_deceased,1
alethea,1
alex,1
alex_and_suzy_fury_parents_unnamed_son,1
alex_clone,1
alex_corinth,1
alex_fairchild,1
alex_fury,1
alex_gianopoulos,1
alex_luthor,1
alex_merkel,1
alex_olsen,1
alex_petrakis,1
alexa,1
alexa_antigone,1
alexa_rivera,1
alexander_abernathy_peter_cassaday_steve_gatesniak,1
alexander_allston,1
alexander_fairchild,1
alexander_fairchild_father_deceased,1
alexander_fairchild_slaphammer_father_deceased_gloria_spaulding_mother_caitlin_fairchild_half_sister,1
alexander_joseph_lex_luthor,1
alexander_joseph_luthor_1,1
alexander_luthor_jr,1
alexander_luthor_jr_1_dark_god_2,1
alexander_luthor_jr_son,1
alexander_luthor_jr_son_kal_il_husband_luthor_el_stepson_bizarress_clone,1
alexander_luthor_sr_father_deceased_lois_lane_luthor_mother_deceased,1
alexander_lyons,1
alexander_mason,1
alexander_montez,1
alexander_olsen,1
alexander_salkind,1
alexander_staunton,1
alexander_the_great,1
alexander_the_great_genghis_khan_julius_caesar,1
alexander_thomas_fairchild,1
alexander_trent,1
alexandra_allston,1
alexandra_allston_sister,1
alexandra_fairchild,1
alexandra_gianopoulos,1
alexei_glushko,1
alexei_luthor,1
alexei_luthor_ultra_humanite,1
alexei_surname_unknown,1
alexi_1_or_damon_surname_unknown_2,1
alexi_nikolai,1
alexia_santos,1
alexis,1
alexx_van_dyne_brandon_vietti,1
alfie_trask_son,1
alfred_bester_martin_nodell_otto_binder_c_c_beck,1
