character,universe,property_name,value
bart_allen_clone,titans_tomorrow,marital_status,single
bart_allen_clone,titans_tomorrow,gender,male
bekka,gods_and_monsters,marital_status,widowed
bekka,gods_and_monsters,gender,female
bekka,new_earth,marital_status,widowed
bekka,new_earth,gender,female
benjamin_orchard,prime_earth,marital_status,single
benjamin_orchard,prime_earth,gender,male
bigby_wolf,fables,marital_status,married
bigby_wolf,fables,gender,male
bilbat,earth_s,marital_status,single
bilbat,earth_s,gender,male
billy_batson,dc_animated_movie_universe,marital_status,single
billy_batson,dc_animated_movie_universe,gender,male
billy_batson,dc_extended_universe,marital_status,single
billy_batson,dc_extended_universe,gender,male
billy_batson,dcau,marital_status,single
billy_batson,dcau,gender,male
billy_batson,earth_5,marital_status,single
billy_batson,earth_5,gender,male
billy_batson,earth_16,marital_status,single
billy_batson,earth_16,gender,male
billy_batson,earth_21,marital_status,single
billy_batson,earth_21,gender,male
billy_batson,earth_22,marital_status,single
billy_batson,earth_22,gender,male
billy_batson,earth_s,marital_status,single
billy_batson,earth_s,gender,male
billy_batson,justice,marital_status,single
billy_batson,justice,gender,male
billy_batson,legends_of_the_superheroes,marital_status,single
billy_batson,legends_of_the_superheroes,gender,male
billy_batson,magic_of_shazam,marital_status,single
billy_batson,magic_of_shazam,gender,male
billy_batson,mortal_kombat_vs_dc_universe,marital_status,single
billy_batson,mortal_kombat_vs_dc_universe,gender,male
billy_batson,new_earth,marital_status,single
billy_batson,new_earth,gender,male
billy_batson,return_of_black_adam,marital_status,single
billy_batson,return_of_black_adam,gender,male
billy_batson,tiny_titans,marital_status,single
billy_batson,tiny_titans,gender,male
bleez,prime_earth,marital_status,single
bleez,prime_earth,gender,female
bonny_hoffman,prime_earth,marital_status,single
bonny_hoffman,prime_earth,gender,female
brain_interactive_construct,smallville,marital_status,single
brain_interactive_construct,smallville,gender,male
brainiac_8,new_earth,marital_status,single
brainiac_8,new_earth,gender,female
branca,new_earth,marital_status,single
branca,new_earth,gender,male
brion_markov,new_earth,marital_status,married
brion_markov,new_earth,gender,male
bryan_mallory,legends_of_the_dead_earth,marital_status,single
bryan_mallory,legends_of_the_dead_earth,gender,male
bryce_wayne,earth_11,marital_status,single
bryce_wayne,earth_11,gender,female
buffy_sanders,smallville,marital_status,single
buffy_sanders,smallville,gender,female
cain,lucifer_tv_series,marital_status,single
cain,lucifer_tv_series,gender,male
caitlin_snow,arrowverse,marital_status,widowed
caitlin_snow,arrowverse,gender,female
caleb_green,arrowverse,marital_status,single
caleb_green,arrowverse,gender,male
calvin_rose,prime_earth,marital_status,single
calvin_rose,prime_earth,gender,male
captain_swift,earth_twelve,marital_status,married
captain_swift,earth_twelve,gender,male
carmen_leno,prime_earth,marital_status,single
carmen_leno,prime_earth,gender,female
carrie_allen,earth_3839,marital_status,single
carrie_allen,earth_3839,gender,female
carter_hall,dc_universe_online,marital_status,married
carter_hall,dc_universe_online,gender,male
carter_hall,new_earth,marital_status,married
carter_hall,new_earth,gender,male
carter_hall,prime_earth,marital_status,married
carter_hall,prime_earth,gender,male
cassandra_sandsmark,prime_earth,marital_status,single
cassandra_sandsmark,prime_earth,gender,female
cece_beck,post_zero_hour,marital_status,single
cece_beck,post_zero_hour,gender,female
charlotte_gage_radcliffe,new_earth,marital_status,single
charlotte_gage_radcliffe,new_earth,gender,female
cherub,new_earth,marital_status,single
cherub,new_earth,gender,female
cinderella,fables,marital_status,divorced
cinderella,fables,gender,female
clotho,arrowverse,marital_status,single
clotho,arrowverse,gender,female
cole_cash,wildstorm_universe,marital_status,single
cole_cash,wildstorm_universe,gender,male
colin_wilkes,new_earth,marital_status,single
colin_wilkes,new_earth,gender,male
composite_swamp_thing,prime_earth,marital_status,single
composite_swamp_thing,prime_earth,gender,male
condor,prime_earth,marital_status,single
condor,prime_earth,gender,male
corum_rath,prime_earth,marital_status,single
corum_rath,prime_earth,gender,male
damian_wayne,batman_in_bethlehem,marital_status,single
damian_wayne,batman_in_bethlehem,gender,male
damien_darhk,arrowverse,marital_status,widowed
damien_darhk,arrowverse,gender,male
danica_williams,dcau,marital_status,single
danica_williams,dcau,gender,female
daniel_cassidy,dcau,marital_status,single
daniel_cassidy,dcau,gender,male
daniel_cassidy,new_earth,marital_status,single
daniel_cassidy,new_earth,gender,male
daniel_cassidy,prime_earth,marital_status,single
daniel_cassidy,prime_earth,gender,male
darkseid,dcau,marital_status,single
darkseid,dcau,gender,male
david_hersch,new_earth,marital_status,single
david_hersch,new_earth,gender,male
david_isherwood,prime_earth,marital_status,single
david_isherwood,prime_earth,gender,male
david_kim,dakotaverse,marital_status,single
david_kim,dakotaverse,gender,male
dawn_allen,new_earth,marital_status,married
dawn_allen,new_earth,gender,female
deathstroke,antimatter_universe,marital_status,single
deathstroke,antimatter_universe,gender,male
deborah_dancer,prime_earth,marital_status,single
deborah_dancer,prime_earth,gender,female
decadence,wildstorm_universe,marital_status,single
decadence,wildstorm_universe,gender,female
defile,wildstorm_universe,marital_status,single
defile,wildstorm_universe,gender,male
derek_james,prime_earth,marital_status,single
derek_james,prime_earth,gender,male
derek_sampson,arrowverse,marital_status,single
derek_sampson,arrowverse,gender,male
devastation,new_earth,marital_status,single
devastation,new_earth,gender,female
diana_of_paradise_island,earth_149,marital_status,single
diana_of_paradise_island,earth_149,gender,female
diana_of_themyscira,dc_extended_universe,marital_status,single
diana_of_themyscira,dc_extended_universe,gender,female
diana_of_themyscira,earth_22,marital_status,married
diana_of_themyscira,earth_22,gender,female
diana_of_themyscira,flashpoint_timeline,marital_status,single
diana_of_themyscira,flashpoint_timeline,gender,female
diana_of_themyscira,injustice,marital_status,single
diana_of_themyscira,injustice,gender,female
diana_of_themyscira,justice_league_3,marital_status,single
diana_of_themyscira,justice_league_3,gender,female
diana_of_themyscira,new_earth,marital_status,single
diana_of_themyscira,new_earth,gender,female
diana_of_themyscira,super_seven,marital_status,single
diana_of_themyscira,super_seven,gender,female
diana_of_themyscira,tempest_tossed,marital_status,single
diana_of_themyscira,tempest_tossed,gender,female
diana_of_themyscira,warbringer,marital_status,single
diana_of_themyscira,warbringer,gender,female
diana_of_themyscira,wonder_woman_2_9_movie,marital_status,single
diana_of_themyscira,wonder_woman_2_9_movie,gender,female
doctor_bedlam,new_earth,marital_status,single
doctor_bedlam,new_earth,gender,male
dolphin,new_earth,marital_status,married
dolphin,new_earth,gender,female
dominic_mndawe,new_earth,marital_status,single
dominic_mndawe,new_earth,gender,male
don_allen,new_earth,marital_status,married
don_allen,new_earth,gender,male
donald_hall,new_earth,marital_status,single
donald_hall,new_earth,gender,male
donna_troy,new_earth,marital_status,divorced
donna_troy,new_earth,gender,female
doomsday,dc_legends,marital_status,single
doomsday,dc_legends,gender,male
doomsday,dcau,marital_status,single
doomsday,dcau,gender,male
doomsday,lego_batman,marital_status,single
doomsday,lego_batman,gender,male
doomsday,new_earth,marital_status,single
doomsday,new_earth,gender,male
doomsday,smallville,marital_status,single
doomsday,smallville,gender,male
drax,new_earth,marital_status,single
drax,new_earth,gender,male
echielias,new_earth,marital_status,single
echielias,new_earth,gender,male
eddie_bloodlines,prime_earth,marital_status,single
eddie_bloodlines,prime_earth,gender,male
eduardo_dorrance,gotham,marital_status,single
eduardo_dorrance,gotham,gender,male
edward_bloomberg,new_earth,marital_status,single
edward_bloomberg,new_earth,gender,male
edward_bloomberg,titans_tomorrow,marital_status,single
edward_bloomberg,titans_tomorrow,gender,male
edward_clariss,arrowverse,marital_status,married
edward_clariss,arrowverse,gender,male
edward_clariss,new_earth,marital_status,single
edward_clariss,new_earth,gender,male
edward_clariss,prime_earth,marital_status,single
edward_clariss,prime_earth,gender,male
edward_dawson,new_earth,marital_status,single
edward_dawson,new_earth,gender,male
edward_walker,new_earth,marital_status,single
edward_walker,new_earth,gender,male
elizabeth_rowan,wildstorm_universe,marital_status,single
elizabeth_rowan,wildstorm_universe,gender,female
emp_of_khera,wildstorm_universe,marital_status,single
emp_of_khera,wildstorm_universe,gender,male
entropous,wildstorm_universe,marital_status,widowed
entropous,wildstorm_universe,gender,male
eobard_thawne,dc_universe_online,marital_status,single
eobard_thawne,dc_universe_online,gender,male
eobard_thawne,flashpoint_paradox,marital_status,single
eobard_thawne,flashpoint_paradox,gender,male
eobard_thawne,lego_batman,marital_status,single
eobard_thawne,lego_batman,gender,male
eobard_thawne,new_earth,marital_status,single
eobard_thawne,new_earth,gender,male
ephraim_newhouse,prime_earth,marital_status,single
ephraim_newhouse,prime_earth,gender,male
ethan_avery,prime_earth,marital_status,single
ethan_avery,prime_earth,gender,male
etrigan,dc_universe_online,marital_status,single
etrigan,dc_universe_online,gender,male
etrigan,injustice,marital_status,single
etrigan,injustice,gender,male
etrigan,lego_batman,marital_status,single
etrigan,lego_batman,gender,male
etrigan,new_earth,marital_status,single
etrigan,new_earth,gender,male
etrigan,prime_earth,marital_status,single
etrigan,prime_earth,gender,male
fastest_killer_alive,last_52_multiverse,marital_status,single
fastest_killer_alive,last_52_multiverse,gender,male
first_born,prime_earth,marital_status,single
first_born,prime_earth,gender,male
flamebird,new_earth,marital_status,single
flamebird,new_earth,gender,female
flash,barry_allen,marital_status,single
flash,barry_allen,gender,male
flash,earth_1,marital_status,single
flash,earth_1,gender,male
flash,earth_11,marital_status,single
flash,earth_11,gender,female
flash,teen_titans_tv_series,marital_status,single
flash,teen_titans_tv_series,gender,male
flash,wally_west,marital_status,married
flash,wally_west,gender,male
flash_kid,tiny_titans,marital_status,single
flash_kid,tiny_titans,gender,male
francis_chandler,arrowverse,marital_status,divorced
francis_chandler,arrowverse,gender,male
frederick_freeman,dcau,marital_status,single
frederick_freeman,dcau,gender,male
frederick_freeman,earth_22,marital_status,married
frederick_freeman,earth_22,gender,male
frederick_freeman,earth_5,gender,male
frederick_freeman,earth_s,marital_status,single
frederick_freeman,earth_s,gender,male
frederick_freeman,justice,marital_status,single
frederick_freeman,justice,gender,male
frederick_freeman,magic_of_shazam,marital_status,single
frederick_freeman,magic_of_shazam,gender,male
frederick_freeman,new_earth,marital_status,single
frederick_freeman,new_earth,gender,male
frost,arrowverse,marital_status,single
frost,arrowverse,gender,female
garth,prime_earth,marital_status,single
garth,prime_earth,gender,male
genocide,new_earth,marital_status,single
genocide,new_earth,gender,female
godspeed_iv,arrowverse,marital_status,single
godspeed_iv,arrowverse,gender,male
grace_choi,new_earth,marital_status,single
grace_choi,new_earth,gender,female
grant_wilson,new_earth,marital_status,single
grant_wilson,new_earth,gender,male
harmony_of_khera,wildstorm_universe,marital_status,single
harmony_of_khera,wildstorm_universe,gender,female
helena_kyle,birds_of_prey,marital_status,single
helena_kyle,birds_of_prey,gender,female
helspont,prime_earth,marital_status,single
helspont,prime_earth,gender,male
helspont,wildstorm_universe,marital_status,single
helspont,wildstorm_universe,gender,male
henry_hall,prime_earth,marital_status,single
henry_hall,prime_earth,gender,male
henry_heywood_sr,new_earth,marital_status,widowed
henry_heywood_sr,new_earth,gender,male
herakles,new_earth,marital_status,single
herakles,new_earth,gender,male
heraphon,new_earth,marital_status,single
heraphon,new_earth,gender,male
hightower,wildstorm_universe,marital_status,single
hightower,wildstorm_universe,gender,male
hippolyta,tempest_tossed,marital_status,single
hippolyta,tempest_tossed,gender,female
hippolyta,warbringer,marital_status,single
hippolyta,warbringer,gender,female
horace_lafeaugh,pre_zero_hour,marital_status,single
horace_lafeaugh,pre_zero_hour,gender,male
hunter_zolomon,new_earth,marital_status,divorced
hunter_zolomon,new_earth,gender,male
immorto,pre_zero_hour,marital_status,single
immorto,pre_zero_hour,gender,male
iris_west,arrowverse,marital_status,married
iris_west,arrowverse,gender,female
iris_west_ii,earth_22,marital_status,single
iris_west_ii,earth_22,gender,female
iris_west_ii,new_earth,marital_status,single
iris_west_ii,new_earth,gender,female
iris_west_ii,prime_earth,marital_status,single
iris_west_ii,prime_earth,gender,female
ishmael_gregor,new_earth,marital_status,single
ishmael_gregor,new_earth,gender,male
ivana_molotova,prime_earth,marital_status,single
ivana_molotova,prime_earth,gender,female
jack_ryder,dcau,marital_status,single
jack_ryder,dcau,gender,male
jack_ryder,earth_22,marital_status,single
jack_ryder,earth_22,gender,male
jack_ryder,lego_batman,marital_status,single
jack_ryder,lego_batman,gender,male
jack_ryder,new_earth,marital_status,single
jack_ryder,new_earth,gender,male
jackie,powerless,marital_status,single
jackie,powerless,gender,female
jai_west,prime_earth,marital_status,single
jai_west,prime_earth,gender,male
james_harper_clone,new_earth,marital_status,single
james_harper_clone,new_earth,gender,male
jared_morillo,new_earth,marital_status,married
jared_morillo,new_earth,gender,male
jason_garrick,dcau,marital_status,single
jason_garrick,dcau,gender,male
jason_garrick,future_state,marital_status,single
jason_garrick,future_state,gender,male
jason_garrick,lightning_in_a_bottle,marital_status,single
jason_garrick,lightning_in_a_bottle,gender,male
jason_garrick,new_earth,marital_status,married
jason_garrick,new_earth,gender,male
jason_garrick,the_brave_and_the_bold,marital_status,single
jason_garrick,the_brave_and_the_bold,gender,male
jason_keralis,warbringer,marital_status,single
jason_keralis,warbringer,gender,male
jay_west,earth_3839,marital_status,single
jay_west,earth_3839,gender,male
jean_paul_ludovic_valley,new_earth,marital_status,single
jean_paul_ludovic_valley,new_earth,gender,male
jean_paul_valley,lego_batman,marital_status,single
jean_paul_valley,lego_batman,gender,male
jean_paul_valley,new_earth,marital_status,single
jean_paul_valley,new_earth,gender,male
jeannette,new_earth,marital_status,widowed
jeannette,new_earth,gender,female
jebediah_of_canaan,new_earth,marital_status,single
jebediah_of_canaan,new_earth,gender,male
jefferson_pierce,new_earth,marital_status,divorced
jefferson_pierce,new_earth,gender,male
jenni_ognats,post_zero_hour,marital_status,single
jenni_ognats,post_zero_hour,gender,female
jenni_ognats,prime_earth,marital_status,single
jenni_ognats,prime_earth,gender,female
jennifer_sparks,wildstorm_universe,marital_status,single
jennifer_sparks,wildstorm_universe,gender,female
jeremy_stone,wildstorm_universe,marital_status,single
jeremy_stone,wildstorm_universe,gender,male
jess_chambers,earth_11,marital_status,single
jess_chambers,earth_11,gender,non_binary
jesse_chambers,dceased,marital_status,single
jesse_chambers,dceased,gender,female
jesse_chambers,new_earth,marital_status,married
jesse_chambers,new_earth,gender,female
jesse_chambers,prime_earth,marital_status,single
jesse_chambers,prime_earth,gender,female
jesse_chambers,tiny_titans,marital_status,single
jesse_chambers,tiny_titans,gender,female
jesse_quick,earth_11,marital_status,single
jesse_quick,earth_11,gender,female
jessie_quick,ame_comi,marital_status,single
jessie_quick,ame_comi,gender,female
jodi_morinaka_slayton,wildstorm_universe,marital_status,single
jodi_morinaka_slayton,wildstorm_universe,gender,female
john_cooper_hawksmoor,wildstorm_universe,marital_status,single
john_cooper_hawksmoor,wildstorm_universe,gender,male
john_lynch,wildstorm_universe,marital_status,single
john_lynch,wildstorm_universe,gender,male
jonathan_allen,earth_3,marital_status,single
jonathan_allen,earth_3,gender,male
jonathan_chambers,prime_earth,marital_status,divorced
jonathan_chambers,prime_earth,gender,male
jonathan_fox,new_earth,marital_status,single
jonathan_fox,new_earth,gender,male
jonathan_samuel_kent,prime_earth,marital_status,single
jonathan_samuel_kent,prime_earth,gender,male
jordan_kent,arrowverse,marital_status,single
jordan_kent,arrowverse,gender,male
joseph_chamberlain,prime_earth,marital_status,single
joseph_chamberlain,prime_earth,gender,male
joseph_wilson,new_earth,marital_status,single
joseph_wilson,new_earth,gender,male
kaizen_gamorra_yohn_kohl,wildstorm_universe,marital_status,single
kaizen_gamorra_yohn_kohl,wildstorm_universe,gender,male
kal_kent,dc_one_million,marital_status,single
kal_kent,dc_one_million,gender,male
kal_el,earth_one,marital_status,single
kal_el,earth_one,gender,male
kal_el,earth_prime,marital_status,single
kal_el,earth_prime,gender,male
kendra_saunders,new_earth,marital_status,single
kendra_saunders,new_earth,gender,female
kendra_saunders,prime_earth,marital_status,single
kendra_saunders,prime_earth,gender,female
kenesha_of_khera,wildstorm_universe,marital_status,single
kenesha_of_khera,wildstorm_universe,gender,female
khalil_payne,black_lightning_tv_series,marital_status,single
khalil_payne,black_lightning_tv_series,gender,male
kirk_depaul,new_earth,marital_status,single
kirk_depaul,new_earth,gender,male
knockout,new_earth,marital_status,married
knockout,new_earth,gender,female
knockout,prime_earth,marital_status,engaged
knockout,prime_earth,gender,female
kon_el,futures_end,marital_status,single
kon_el,futures_end,gender,male
kon_el,prime_earth,marital_status,single
kon_el,prime_earth,gender,male
lady_charis,wildstorm_universe,marital_status,single
lady_charis,wildstorm_universe,gender,female
lana_lang,smallville,marital_status,divorced
lana_lang,smallville,gender,female
lennox,prime_earth,marital_status,single
lennox,prime_earth,gender,male
lex_luthor,dcau,marital_status,single
lex_luthor,dcau,gender,male
lion_mane,prime_earth,marital_status,married
lion_mane,prime_earth,gender,male
lord_beyond_the_void,prime_earth,marital_status,single
lord_beyond_the_void,prime_earth,gender,male
maeve,warbringer,marital_status,single
maeve,warbringer,gender,female
majestros,wildstorm_universe,marital_status,single
majestros,wildstorm_universe,gender,male
marc_slayton,wildstorm_universe,marital_status,single
marc_slayton,wildstorm_universe,gender,male
mari_mccabe,dcau,marital_status,single
mari_mccabe,dcau,gender,female
mari_mccabe,lego_batman,marital_status,single
mari_mccabe,lego_batman,gender,female
mari_mccabe,prime_earth,marital_status,single
mari_mccabe,prime_earth,gender,female
mary_batson,dcau,marital_status,single
mary_batson,dcau,gender,female
mary_batson,earth_22,marital_status,married
mary_batson,earth_22,gender,female
mary_batson,justice,marital_status,single
mary_batson,justice,gender,female
mary_batson,magic_of_shazam,marital_status,single
mary_batson,magic_of_shazam,gender,female
mary_batson,new_earth,marital_status,single
mary_batson,new_earth,gender,female
mary_turner,prime_earth,marital_status,single
mary_turner,prime_earth,gender,female
matthew_cable,prime_earth,marital_status,single
matthew_cable,prime_earth,gender,male
max_mercury,dceased,marital_status,single
max_mercury,dceased,gender,male
max_mercury,future_state,marital_status,single
max_mercury,future_state,gender,male
max_mercury,new_earth,marital_status,single
max_mercury,new_earth,gender,male
max_mercury,titans_tomorrow,marital_status,single
max_mercury,titans_tomorrow,gender,male
maxine_baker,prime_earth,marital_status,single
maxine_baker,prime_earth,gender,female
mei_ling,prime_earth,marital_status,divorced
mei_ling,prime_earth,gender,female
mercury_flash,earth_44,marital_status,single
midnighter,future_state,marital_status,married
midnighter,future_state,gender,male
midnighter,prime_earth,marital_status,single
midnighter,prime_earth,gender,male
midnighter,wildstorm_universe,marital_status,married
midnighter,wildstorm_universe,gender,male
mikaal_tomas,new_earth,marital_status,single
mikaal_tomas,new_earth,gender,male
mordru,pre_zero_hour,marital_status,single
mordru,pre_zero_hour,gender,male
nathaniel_barnes,gotham,marital_status,single
nathaniel_barnes,gotham,gender,male
nereus,prime_earth,marital_status,single
nereus,prime_earth,gender,male
niatpac_levram,earth_s,marital_status,single
niatpac_levram,earth_s,gender,male
nikki_faure,earth_9,marital_status,single
nikki_faure,earth_9,gender,female
nikolas_kamarov,wildstorm_universe,marital_status,single
nikolas_kamarov,wildstorm_universe,gender,male
nix_uotan,prime_earth,marital_status,single
nix_uotan,prime_earth,gender,male
nora_west_allen,arrowverse,marital_status,single
nora_west_allen,arrowverse,gender,female
nyx,new_earth,marital_status,single
nyx,new_earth,gender,female
oliver_truly,prime_earth,marital_status,single
oliver_truly,prime_earth,gender,male
olympia_atreidae,wildstorm_universe,marital_status,single
olympia_atreidae,wildstorm_universe,gender,female
orion,new_earth,marital_status,single
orion,new_earth,gender,male
orm_marius,prime_earth,marital_status,single
orm_marius,prime_earth,gender,male
paul_kirk_ii,new_earth,marital_status,single
paul_kirk_ii,new_earth,gender,male
percival_edward_chang,gen_13_movie,marital_status,single
percival_edward_chang,gen_13_movie,gender,male
persephone,wildstorm_universe,marital_status,single
persephone,wildstorm_universe,gender,female
pestilence,earth_2,marital_status,single
pestilence,earth_2,gender,female
peter_cannon,new_earth,marital_status,single
peter_cannon,new_earth,gender,male
platinum,gods_and_monsters,marital_status,married
platinum,gods_and_monsters,gender,female
pollux,flash_199_tv_series,marital_status,single
pollux,flash_199_tv_series,gender,male
power_boy,new_earth,marital_status,single
power_boy,new_earth,gender,male
priscilla_kitaen,wildstorm_universe,marital_status,single
priscilla_kitaen,wildstorm_universe,gender,female
quanto,pre_zero_hour,marital_status,single
quanto,pre_zero_hour,gender,male
r_amey_holl,new_earth,marital_status,single
r_amey_holl,new_earth,gender,female
raven,wildstorm_universe,marital_status,single
raven,wildstorm_universe,gender,male
raymond_terrill,new_earth,marital_status,single
raymond_terrill,new_earth,gender,male
red_racer,earth_36,marital_status,single
red_racer,earth_36,gender,male
richard_kent_shakespeare,pre_zero_hour,marital_status,single
richard_kent_shakespeare,pre_zero_hour,gender,male
roman_sionis,new_earth,marital_status,single
roman_sionis,new_earth,gender,male
rosabelle_mendez,new_earth,marital_status,single
rose_tattoo,prime_earth,marital_status,single
rose_tattoo,prime_earth,gender,female
rose_tattoo,wildstorm_universe,marital_status,single
rose_tattoo,wildstorm_universe,gender,female
rose_wilson,dceased,marital_status,widowed
rose_wilson,dceased,gender,female
rose_wilson,future_state,marital_status,single
rose_wilson,future_state,gender,female
rose_wilson,prime_earth,marital_status,widowed
rose_wilson,prime_earth,gender,female
rose_wilson,smallville,marital_status,single
rose_wilson,smallville,gender,female
roy_harper,arrowverse,marital_status,engaged
roy_harper,arrowverse,gender,male
rrall,new_earth,marital_status,single
rrall,new_earth,gender,male
ryan_kendall,new_earth,marital_status,single
ryan_kendall,new_earth,gender,male
salvador_joel_alonday,wildstorm_universe,marital_status,single
salvador_joel_alonday,wildstorm_universe,gender,male
sasha_bordeaux,new_earth,marital_status,single
sasha_bordeaux,new_earth,gender,female
sebastian_ashe,wildstorm_universe,marital_status,single
sebastian_ashe,wildstorm_universe,gender,male
sela_allen,new_earth,marital_status,single
sela_allen,new_earth,gender,female
shay_lamden,arrowverse,marital_status,married
shay_lamden,arrowverse,gender,male
shazam,billy_batson,marital_status,single
shazam,billy_batson,gender,male
shiera_sanders,new_earth,marital_status,married
shiera_sanders,new_earth,gender,female
siobhan_mcdougal,new_earth,marital_status,single
siobhan_mcdougal,new_earth,gender,female
sister_eve,wildstorm_universe,marital_status,single
sister_eve,wildstorm_universe,gender,female
slade_wilson,arrowverse,marital_status,separated
slade_wilson,arrowverse,gender,male
slade_wilson,futures_end,marital_status,divorced
slade_wilson,futures_end,gender,male
slade_wilson,prime_earth,marital_status,divorced
slade_wilson,prime_earth,gender,male
slobo,new_earth,marital_status,single
slobo,new_earth,gender,male
slyxx,wildstorm_universe,marital_status,single
slyxx,wildstorm_universe,gender,male
sofia_ramos,prime_earth,marital_status,single
sofia_ramos,prime_earth,gender,female
solis,new_earth,marital_status,single
solis,new_earth,gender,male
stealth,new_earth,marital_status,single
stealth,new_earth,gender,female
superboy,dc_animated_movie_universe,marital_status,single
