character,universe,marital_status,gender
bigby_wolf,fables,married,male
bilbat,earth_s,single,male
billy_batson,dc_animated_movie_universe,single,male
billy_batson,dc_extended_universe,single,male
billy_batson,dcau,single,male
billy_batson,earth_5,single,male
billy_batson,earth_16,single,male
billy_batson,earth_21,single,male
billy_batson,earth_22,single,male
billy_batson,earth_s,single,male
billy_batson,justice,single,male
billy_batson,legends_of_the_superheroes,single,male
billy_batson,magic_of_shazam,single,male
billy_batson,mortal_kombat_vs_dc_universe,single,male
billy_batson,new_earth,single,male
billy_batson,return_of_black_adam,single,male
billy_batson,tiny_titans,single,male
bleez,prime_earth,single,female
bonny_hoffman,prime_earth,single,female
brain_interactive_construct,smallville,single,male
brainiac_8,new_earth,single,female
branca,new_earth,single,male
brion_markov,new_earth,married,male
bryan_mallory,legends_of_the_dead_earth,single,male
bryce_wayne,earth_11,single,female
buffy_sanders,smallville,single,female
cain,lucifer_tv_series,single,male
caitlin_snow,arrowverse,widowed,female
caleb_green,arrowverse,single,male
calvin_rose,prime_earth,single,male
captain_swift,earth_twelve,married,male
carmen_leno,prime_earth,single,female
carrie_allen,earth_3839,single,female
carter_hall,dc_universe_online,married,male
carter_hall,new_earth,married,male
carter_hall,prime_earth,married,male
cassandra_sandsmark,prime_earth,single,female
cece_beck,post_zero_hour,single,female
charlotte_gage_radcliffe,new_earth,single,female
cherub,new_earth,single,female
cinderella,fables,divorced,female
clotho,arrowverse,single,female
cole_cash,wildstorm_universe,single,male
colin_wilkes,new_earth,single,male
composite_swamp_thing,prime_earth,single,male
condor,prime_earth,single,male
corum_rath,prime_earth,single,male
damian_wayne,batman_in_bethlehem,single,male
damien_darhk,arrowverse,widowed,male
danica_williams,dcau,single,female
daniel_cassidy,dcau,single,male
daniel_cassidy,new_earth,single,male
daniel_cassidy,prime_earth,single,male
darkseid,dcau,single,male
david_hersch,new_earth,single,male
david_isherwood,prime_earth,single,male
david_kim,dakotaverse,single,male
dawn_allen,new_earth,married,female
deathstroke,antimatter_universe,single,male
deborah_dancer,prime_earth,single,female
decadence,wildstorm_universe,single,female
defile,wildstorm_universe,single,male
derek_james,prime_earth,single,male
derek_sampson,arrowverse,single,male
devastation,new_earth,single,female
diana_of_paradise_island,earth_149,single,female
diana_of_themyscira,dc_extended_universe,single,female
diana_of_themyscira,earth_22,married,female
diana_of_themyscira,flashpoint_timeline,single,female
diana_of_themyscira,injustice,single,female
diana_of_themyscira,justice_league_3,single,female
diana_of_themyscira,new_earth,single,female
diana_of_themyscira,super_seven,single,female
diana_of_themyscira,tempest_tossed,single,female
diana_of_themyscira,warbringer,single,female
diana_of_themyscira,wonder_woman_2_9_movie,single,female
doctor_bedlam,new_earth,single,male
dolphin,new_earth,married,female
dominic_mndawe,new_earth,single,male
don_allen,new_earth,married,male
donald_hall,new_earth,single,male
donna_troy,new_earth,divorced,female
doomsday,dc_legends,single,male
doomsday,dcau,single,male
doomsday,lego_batman,single,male
doomsday,new_earth,single,male
doomsday,smallville,single,male
drax,new_earth,single,male
echielias,new_earth,single,male
eddie_bloodlines,prime_earth,single,male
eduardo_dorrance,gotham,single,male
edward_bloomberg,new_earth,single,male
edward_bloomberg,titans_tomorrow,single,male
edward_clariss,arrowverse,married,male
edward_clariss,new_earth,single,male
edward_clariss,prime_earth,single,male
edward_dawson,new_earth,single,male
edward_walker,new_earth,single,male
elizabeth_rowan,wildstorm_universe,single,female
emp_of_khera,wildstorm_universe,single,male
entropous,wildstorm_universe,widowed,male
eobard_thawne,dc_universe_online,single,male
eobard_thawne,flashpoint_paradox,single,male
eobard_thawne,lego_batman,single,male
eobard_thawne,new_earth,single,male
ephraim_newhouse,prime_earth,single,male
ethan_avery,prime_earth,single,male
etrigan,dc_universe_online,single,male
etrigan,injustice,single,male
etrigan,lego_batman,single,male
etrigan,new_earth,single,male
etrigan,prime_earth,single,male
fastest_killer_alive,last_52_multiverse,single,male
first_born,prime_earth,single,male
flamebird,new_earth,single,female
flash,barry_allen,single,male
flash,earth_1,single,male
flash,earth_11,single,female
flash,teen_titans_tv_series,single,male
flash,wally_west,married,male
flash_kid,tiny_titans,single,male
francis_chandler,arrowverse,divorced,male
frederick_freeman,dcau,single,male
frederick_freeman,earth_22,married,male
frederick_freeman,earth_5,single,male
frederick_freeman,earth_s,single,male
frederick_freeman,justice,single,male
frederick_freeman,magic_of_shazam,single,male
frederick_freeman,new_earth,single,male
frost,arrowverse,single,female
garth,prime_earth,single,male
genocide,new_earth,single,female
godspeed_iv,arrowverse,single,male
grace_choi,new_earth,single,female
grant_wilson,new_earth,single,male
harmony_of_khera,wildstorm_universe,single,female
helena_kyle,birds_of_prey,single,female
helspont,prime_earth,single,male
helspont,wildstorm_universe,single,male
henry_hall,prime_earth,single,male
henry_heywood_sr,new_earth,widowed,male
herakles,new_earth,single,male
heraphon,new_earth,single,male
hightower,wildstorm_universe,single,male
hippolyta,tempest_tossed,single,female
hippolyta,warbringer,single,female
horace_lafeaugh,pre_zero_hour,single,male
hunter_zolomon,new_earth,divorced,male
immorto,pre_zero_hour,single,male
iris_west,arrowverse,married,female
iris_west_ii,earth_22,single,female
iris_west_ii,new_earth,single,female
iris_west_ii,prime_earth,single,female
ishmael_gregor,new_earth,single,male
ivana_molotova,prime_earth,single,female
jack_ryder,dcau,single,male
jack_ryder,earth_22,single,male
jack_ryder,lego_batman,single,male
jack_ryder,new_earth,single,male
jackie,powerless,single,female
jai_west,prime_earth,single,male
james_harper_clone,new_earth,single,male
jared_morillo,new_earth,married,male
jason_garrick,dcau,single,male
jason_garrick,future_state,single,male
jason_garrick,lightning_in_a_bottle,single,male
jason_garrick,new_earth,married,male
jason_garrick,the_brave_and_the_bold,single,male
jason_keralis,warbringer,single,male
jay_west,earth_3839,single,male
jean_paul_ludovic_valley,new_earth,single,male
jean_paul_valley,lego_batman,single,male
jean_paul_valley,new_earth,single,male
jeannette,new_earth,widowed,female
jebediah_of_canaan,new_earth,single,male
jefferson_pierce,new_earth,divorced,male
jenni_ognats,post_zero_hour,single,female
jenni_ognats,prime_earth,single,female
jennifer_sparks,wildstorm_universe,single,female
jeremy_stone,wildstorm_universe,single,male
jess_chambers,earth_11,single,non_binary
jesse_chambers,dceased,single,female
jesse_chambers,new_earth,married,female
jesse_chambers,prime_earth,single,female
jesse_chambers,tiny_titans,single,female
jesse_quick,earth_11,single,female
jessie_quick,ame_comi,single,female
jodi_morinaka_slayton,wildstorm_universe,single,female
john_cooper_hawksmoor,wildstorm_universe,single,male
john_lynch,wildstorm_universe,single,male
jonathan_allen,earth_3,single,male
jonathan_chambers,prime_earth,divorced,male
jonathan_fox,new_earth,single,male
jonathan_samuel_kent,prime_earth,single,male
jordan_kent,arrowverse,single,male
joseph_chamberlain,prime_earth,single,male
joseph_wilson,new_earth,single,male
kaizen_gamorra_yohn_kohl,wildstorm_universe,single,male
kal_kent,dc_one_million,single,male
kal_el,earth_one,single,male
kal_el,earth_prime,single,male
kendra_saunders,new_earth,single,female
kendra_saunders,prime_earth,single,female
kenesha_of_khera,wildstorm_universe,single,female
khalil_payne,black_lightning_tv_series,single,male
kirk_depaul,new_earth,single,male
knockout,new_earth,married,female
knockout,prime_earth,engaged,female
kon_el,futures_end,single,male
kon_el,prime_earth,single,male
lady_charis,wildstorm_universe,single,female
lana_lang,smallville,divorced,female
lennox,prime_earth,single,male
lex_luthor,dcau,single,male
lion_mane,prime_earth,married,male
lord_beyond_the_void,prime_earth,single,male
maeve,warbringer,single,female
majestros,wildstorm_universe,single,male
marc_slayton,wildstorm_universe,single,male
mari_mccabe,dcau,single,female
mari_mccabe,lego_batman,single,female
mari_mccabe,prime_earth,single,female
mary_batson,dcau,single,female
mary_batson,earth_22,married,female
mary_batson,justice,single,female
mary_batson,magic_of_shazam,single,female
mary_batson,new_earth,single,female
mary_turner,prime_earth,single,female
matthew_cable,prime_earth,single,male
max_mercury,dceased,single,male
max_mercury,future_state,single,male
max_mercury,new_earth,single,male
max_mercury,titans_tomorrow,single,male
maxine_baker,prime_earth,single,female
mei_ling,prime_earth,divorced,female
mercury_flash,earth_44,single,NA
midnighter,future_state,married,male
midnighter,prime_earth,single,male
midnighter,wildstorm_universe,married,male
mikaal_tomas,new_earth,single,male
mordru,pre_zero_hour,single,male
nathaniel_barnes,gotham,single,male
nereus,prime_earth,single,male
niatpac_levram,earth_s,single,male
nikki_faure,earth_9,single,female
nikolas_kamarov,wildstorm_universe,single,male
nix_uotan,prime_earth,single,male
nora_west_allen,arrowverse,single,female
nyx,new_earth,single,female
oliver_truly,prime_earth,single,male
olympia_atreidae,wildstorm_universe,single,female
orion,new_earth,single,male
orm_marius,prime_earth,single,male
paul_kirk_ii,new_earth,single,male
percival_edward_chang,gen_13_movie,single,male
persephone,wildstorm_universe,single,female
pestilence,earth_2,single,female
peter_cannon,new_earth,single,male
platinum,gods_and_monsters,married,female
pollux,flash_199_tv_series,single,male
power_boy,new_earth,single,male
priscilla_kitaen,wildstorm_universe,single,female
quanto,pre_zero_hour,single,male
r_amey_holl,new_earth,single,female
raven,wildstorm_universe,single,male
raymond_terrill,new_earth,single,male
red_racer,earth_36,single,male
richard_kent_shakespeare,pre_zero_hour,single,male
roman_sionis,new_earth,single,male
rosabelle_mendez,new_earth,single,NA
rose_tattoo,prime_earth,single,female
rose_tattoo,wildstorm_universe,single,female
rose_wilson,dceased,widowed,female
rose_wilson,future_state,single,female
rose_wilson,prime_earth,widowed,female
rose_wilson,smallville,single,female
roy_harper,arrowverse,engaged,male
rrall,new_earth,single,male
ryan_kendall,new_earth,single,male
salvador_joel_alonday,wildstorm_universe,single,male
sasha_bordeaux,new_earth,single,female
sebastian_ashe,wildstorm_universe,single,male
sela_allen,new_earth,single,female
shay_lamden,arrowverse,married,male
shazam,billy_batson,single,male
shiera_sanders,new_earth,married,female
siobhan_mcdougal,new_earth,single,female
sister_eve,wildstorm_universe,single,female
slade_wilson,arrowverse,separated,male
slade_wilson,futures_end,divorced,male
slade_wilson,prime_earth,divorced,male
slobo,new_earth,single,male
slyxx,wildstorm_universe,single,male
sofia_ramos,prime_earth,single,female
solis,new_earth,single,male
stealth,new_earth,single,female
superboy,dc_animated_movie_universe,single,male
taiana_venediktov,arrowverse,single,female
talon_of_178,prime_earth,single,male
tanaka_rei,earth_d,married,male
tanist,dc_one_million,single,male
teri_magnus,justice_league_3,single,female
teth_adam,dcau,single,male
teth_adam,earth_16,single,male
teth_adam,harley_quinn_tv_series,single,male
teth_adam,justice,single,male
teth_adam,lego_batman,married,male
teth_adam,new_earth,married,male
teth_adam,prime_earth,widowed,male
teth_adam,return_of_black_adam,single,male
teth_adam,the_brave_and_the_bold,single,male
thaddeus_sivana,dc_extended_universe,single,male
theo_adam,magic_of_shazam,single,male
theodore_galavan,gotham,single,male
thomas_snow,arrowverse,married,male
thrax,wonder_woman_2_9_movie,single,male
timothy_karnes,new_earth,single,male
trigon,teen_titans_go_tv_series,single,male
troll,new_earth,single,male
tsavo,prime_earth,single,male
tyrell,earth_1,single,male
unknown_soldier,prime_earth,widowed,male
unknown_soldier_ii,new_earth,single,male
vandal_savage,dc_animated_movie_universe,single,male
vandal_savage,dcau,divorced,male
vandal_savage,earth_16,single,male
vandar_adg,prime_earth,divorced,male
virgil_hawkins,prime_earth,single,male
wallace_allen,mash_up,single,male
wallace_r_west,dc_animated_movie_universe,single,male
wallace_r_west,dc_legends,single,male
wallace_r_west,dceased,single,male
wallace_r_west,lego_batman,single,male
wallace_r_west,once_and_future,single,male
wallace_r_west,prime_earth,single,male
wally_west,arrowverse,single,male
wally_west,crisis_on_two_earths,single,male
wally_west,dc_animated_movie_universe,single,male
wally_west,dcau,single,male
wally_west,dceased,single,male
wally_west,earth_16,single,male
wally_west,earth_22,widowed,male
wally_west,earth_3839,married,male
wally_west,earth_5_8,single,male
wally_west,justice_league_heroes,single,male
wally_west,lego_batman,single,male
wally_west,super_seven,single,male
wally_west,tiny_titans,single,male
wally_west,world_without_young_justice,single,male
william_hayes,new_earth,single,male
william_leather,wildstorm_universe,single,male
william_magnus,gods_and_monsters,married,male
william_mar_vell,amalgam_universe,single,male
wonder_tot,earth_124_1,single,female
wonder_woman,diana_prince,single,female
xiomara_rojas,prime_earth,single,female
yohn_kohl,wildstorm_universe,single,male
zannah_of_khera,wildc_a_t_s_tv_series,single,female
zannah_of_khera,wildstorm_universe,single,female
zauriel,new_earth,single,male
allie_langford,dcau,single,female
allure_botier,new_earth,widowed,female
bernhard_baker,animal_man_shorts,single,male
bernhard_baker,new_earth,married,male
celine_patterson,prime_earth,single,female
christopher_weiss,dc_extended_universe,widowed,male
clifford_steele,new_earth,single,male
clifford_steele_doppelganger,new_earth,single,male
dracula,the_batman_tv_series,widowed,male
fang,teen_titans_tv_series,single,male
frederick_von_frankenstein,new_earth,single,male
gregory_arkin,smallville,single,male
jason_troy,impact,single,male
kay_challis,doom_patrol_tv_series,single,female
mig_el_gand,amalgam_universe,single,male
mitchell_anderson,new_earth,single,male
pamela_isley,new_earth,single,female
peter_ross,amalgam_universe,engaged,male
roderick_rose,new_earth,single,male
rudolph_jones,justice_league_action,single,male
sameer_park,dc_animated_movie_universe,single,male
sylvan_scofield,new_earth,single,female
terrence_mcginnis,dcau,engaged,male
virgil_hawkins,dakotaverse,married,male
adrianna_tomaz,new_earth,married,female
ahri_ahn,new_earth,widowed,male
amazo,earth_16,single,male
arak_wind_walker,new_earth,single,male
avery_ho,prime_earth,single,female
barry_allen,dc_super_friends_web_series,single,male
barry_allen,earth_16,married,male
barry_allen,out_of_time,single,male
behrad_tarazi,arrowverse,single,male
berta_skye_haris,pre_zero_hour,single,female
breathtaker_ii,new_earth,single,female
bromwell_stikk,earth_16,single,male
bromwell_stikk,new_earth,single,male
chase_lawler,new_earth,single,male
cloud_9,prime_earth,single,female
david_drake,prime_earth,divorced,male
drogue,prime_earth,single,male
dust_devil,new_earth,single,female
eleanor_darhk,arrowverse,married,female
eobard_thawne,injustice,single,male
gabriel,constantine_movie,single,male
gary_johnson,earth_one,single,male
hades,dcau,single,male
harmonia_li,pre_zero_hour,single,female
jason,prime_earth,single,male
jason_garrick,dc_legends,married,male
jason_garrick,injustice,married,male
jay_garrick_clone,new_earth,single,male
jinx,new_earth,single,female
jocelyn_jackam,arrowverse,single,female
john_constantine,arrowverse,single,male
john_trujillo,new_earth,single,male
jonathan_chambers,new_earth,divorced,male
leonard_lewis,just_imagine,single,male
linda_park,earth_32,single,female
lithium,prime_earth,single,male
lois_lane,earth_2,widowed,female
lumi,fables,single,female
lutessa_luthor,smallville,single,female
maelstrom,prime_earth,single,female
mas_y_menos,tiny_titans,single,male
maxine_hunkel,new_earth,single,female
meena_dhawan,prime_earth,single,female
merlin,new_earth,single,male
monkey_prince,prime_earth,single,male
moshe_levy,new_earth,single,male
nightstorm,prime_earth,single,male
omar_kamadev,wildstorm_universe,single,male
ororo_of_themyscira,amalgam_universe,single,female
red_tornado,crisis_on_two_earths,single,male
red_tornado,dcau,single,male
red_tornado,earth_22,single,male
red_tornado,earth_16,single,male
red_tornado,flashpoint_timeline,single,male
red_tornado,injustice,single,male
red_tornado,justice_league_action,single,male
red_tornado,justice,single,male
red_tornado,lego_batman,single,male
red_tornado,new_earth,married,male
red_tornado,prime_earth,single,male
red_tornado,the_brave_and_the_bold,single,male
robinson_goode,prime_earth,single,female
roscoe_dillon,prime_earth,single,male
roscoe_hynes,prime_earth,single,male
sam_zhao,earth_2,single,male
samuel_song,prime_earth,single,male
samurai_ii,new_earth,single,male
sarah_rainmaker,wildstorm_universe,single,female
shifu_pigsy,prime_earth,single,male
siracca,prime_earth,single,female
superman,clark_kent,married,male
tempest,dc_one_million,single,female
tornado_champion,the_brave_and_the_bold,single,male
toshio_eto,new_earth,single,male
toshio_eto,super_friends,single,male
tsuki_yomi,new_earth,married,male
valerie_kameya,dakotaverse,single,female
wally_west,new_earth,married,male
wendy_jones,earth_16,single,female
wendy_jones,new_earth,single,female
wendy_jones,thunder_lightning_shorts,single,female
wind_dragon,dcau,single,male
windshear,dakotaverse,single,female
zari_tarazi,arrowverse,single,female
zatanna_zatara,new_earth,single,female
abnegazar,justice_league_action,single,male
abysmus,prime_earth,single,male
adam_sector_1_55,new_earth,single,male
adjudicator,earth_one,single,male
akka,pre_zero_hour,single,female
alastor_faud,pre_zero_hour,single,male
alia,new_earth,widowed,female
sinestro,the_brave_and_the_bold,single,male
alpheus,sixth_dimension,single,male
amanita,new_earth,single,male
amon_hakk,new_earth,single,male
apros,new_earth,single,genderless
ar_n_o_q,new_earth,single,male
arak,prime_earth,married,male
ariella_kent,new_earth,single,female
arisia_rrab,new_earth,single,female
arkillo,dc_universe_online,single,male
arkillo,lego_batman,single,male
arkillo,new_earth,single,male
arkillo,prime_earth,single,male
arnus_ii,dakotaverse,single,male
astrild_storm_daughter,new_earth,single,female
atrocitus,lego_batman,single,male
atrocitus,new_earth,widowed,male
atros,dc_legends,widowed,male
atros,prime_earth,widowed,male
augustus_freeman,earth_16,single,male
azrael,new_earth,single,male
b_dg,new_earth,single,male
babe,atari_force,single,male
badra,earth_two,single,female
barbatos,dark_multiverse,single,male
barda_free,gotham_city_garage,widowed,female
belzebeth,prime_earth,single,female
bertron_diib,new_earth,single,male
bette_noir,new_earth,single,female
big_barda,dc_legends,married,female
billy_the_girl,new_earth,single,female
bizarro_krypto,dcau,single,male
blok,legion_of_super_heroes_tv_series,single,male
blok,pre_zero_hour,single,male
bolphunga,emerald_knights,single,male
bolphunga,new_earth,single,male
bolphunga,prime_earth,single,male
brainiac,earth_3,single,NA
brainiac,man_of_tomorrow,single,male
brek_bannin,legion_of_super_heroes_tv_series,single,male
brek_bannin,post_zero_hour,single,male
brek_bannin,pre_zero_hour,single,male
brik,new_earth,single,female
bro_dee_walker,prime_earth,married,male
brutus,prime_earth,single,male
bzzd,new_earth,single,male
caellich,new_earth,married,male
caliban,prime_earth,single,male
calleen,prime_earth,single,female
calythos,justice_league_action,single,male
ch_p,new_earth,divorced,male
cha_rissa,new_earth,engaged,female
chaq,new_earth,single,male
charis_nar,new_earth,married,male
chaselon,new_earth,single,male
chey_nu,pre_zero_hour,single,male
chthos_chthas_chthatis,new_earth,single,male
chun_yull,new_earth,single,male
clonus,pre_zero_hour,single,male
cobi,new_earth,single,male
cobi,prime_earth,single,male
dag_wentim,pre_zero_hour,single,male
dark_angel,new_earth,single,female
dark_heart,dcau,single,genderless
darlene_spritzer,new_earth,single,female
dartalg,pre_zero_hour,single,male
darthartheen,new_earth,single,female
dawg,new_earth,single,male
dawg,prime_earth,single,male
dawlakispokpok,new_earth,married,male
dawnstar,pre_zero_hour,single,female
dawnstar_gr_ell,post_rebirth,single,female
death_kraken,prime_earth,single,NA
deathspawn,earth_2,single,male
dennap,new_earth,single,female
deraegis,new_earth,married,male
desira,earth_two,single,female
despera,future_state,single,female
despero,dcau,single,male
despero,new_earth,single,male
despotellis,new_earth,single,genderless
doomsday,flashpoint_timeline,single,male
doranchatok,new_earth,single,male
draaga,new_earth,single,male
drura_sehpt,pre_zero_hour,single,female
elvo,pre_zero_hour,single,male
eris,harley_quinn_tv_series,single,female
ernest_widdle,new_earth,single,male
first_of_the_fallen,arrowverse,single,male
flamina,earth_two,single,female
flood,prime_earth,single,NA
forager,earth_16,single,male
furcifer,arrowverse,single,male
g_hu,new_earth,single,male
g_nort,new_earth,single,male
g_nort,prime_earth,single,male
galius_zed,new_earth,single,male
gall,prime_earth,single,male
ganglios,pre_zero_hour,single,male
ganthet,new_earth,single,male
garryn_bek,new_earth,married,male
garth_ranzz,dcau,single,male
garv,new_earth,married,male
gary_green,arrowverse,single,male
gavyn,dcau,single,male
gavyn,new_earth,married,male
gigorr,new_earth,single,NA
gleek,prime_earth,single,male
gleek,super_friends,single,male
gleen,new_earth,single,male
grava,pre_zero_hour,single,female
green_man,new_earth,single,male
grev_mallor,pre_zero_hour,single,male
h_i_v_e_queen,prime_earth,single,female
hannu,new_earth,single,male
harlak,pre_zero_hour,single,male
humre_durgo,pre_zero_hour,married,male
husque,new_earth,single,male
hyathis,new_earth,single,female
hywyndr,pre_zero_hour,single,male
ice_man,new_earth,single,male
imogen,arrowverse,single,female
imperator,wildstorm_universe,single,male
imra_ardeen,earth_prime,single,female
imra_ardeen,future_state,single,female
invictus,prime_earth,single,male
isamot_kol,new_earth,single,male
itro,prime_earth,single,male
j_onn_j_onzz,amalgam_universe,single,male
jacob_grayson,the_new_order,married,male
james_olsen,earth_one,single,male
jan_arrah,future_state,single,male
jan_arrah,legion_of_super_heroes_tv_series,single,male
jan_arrah,post_rebirth,single,male
jan_arrah,pre_zero_hour,single,male
jarro,prime_earth,single,genderless
jason_woodrue,new_earth,single,male
javen,wildstorm_universe,single,male
jayna,prime_earth,single,female
jed_rikane,pre_zero_hour,single,male
jeka_wynzorr,dcau,single,female
jeka_wynzorr,post_zero_hour,single,female
jemm,new_earth,married,male
jeremy_standish,dark_genesis,single,male
jo_nah,batman_1966_tv_series,single,male
jochi,prime_earth,single,male
jonas_glim,new_earth,single,male
jonathan_elliot,earth_423,single,male
jonathan_samuel_kent,booster_shot_future,single,male
jonathan_samuel_kent,lego_batman,single,male
jonathan_samuel_kent,super_sons,single,male
jonzz,riddle_of_the_beast,single,male
k_raamdyn,new_earth,married,male
kaja_dox,prime_earth,single,female
kal,earth_32,single,male
kal_el,justice_league_3,single,male
kal_el,terra_occulta,single,male
kanjar_ro,scooby_doo_team_up,single,male
kara_in_ze,dcau,single,female
kathy_branden,prime_earth,single,female
keeg_bovo,prime_earth,single,NA
kiriazis,new_earth,single,female
kirk_quentin,prime_earth,single,male
komand_r,the_brave_and_the_bold,single,female
koriand_r,earth_22,married,female
kort_grezz,pre_zero_hour,single,male
kraken,earth_one,single,male
kryb,new_earth,single,female
krypto,injustice,single,male
krypto,prime_earth,single,male
krypto,tiny_titans,single,male
kryptonite_kid,earth_one,single,male
lady_styx,new_earth,single,female
larfleeze,lego_batman,single,male
larfleeze,prime_earth,widowed,male
larvox,earth_5_8,single,genderless
larvox,new_earth,single,genderless
larvox,the_nail,single,genderless
laura_kent,celebration,single,female
laurel_kent,earth_11,single,female
lea_lindy,earth_one,single,female
lianna,new_earth,single,female
lilith_demon,new_earth,single,female
linnya_wazzo,prime_earth,single,female
loma_shade,prime_earth,single,female
lonocelu_ospho,new_earth,single,male
loo,new_earth,single,male
lucifer_morningstar,lucifer_tv_series,single,male
lucifer_morningstar,new_earth,single,male
lucifer_morningstar,prime_earth,single,male
luornu_durgo,batman_1966_tv_series,single,female
luornu_durgo,dcau,single,female
luornu_durgo,future_state,single,female
luornu_durgo,legion_of_super_heroes_tv_series,single,female
luornu_durgo,post_rebirth,single,female
luornu_durgo,pre_zero_hour,married,female
lurlan_dupo,new_earth,single,male
luthor_el,earth_3,single,male
lyla,new_earth,single,female
lyrissa_mallor,new_earth,married,female
lyssa_drak,new_earth,single,female
lyssa_drak,prime_earth,single,female
m_nagalah,new_earth,single,genderless
maash,new_earth,single,male
maelstrom,new_earth,single,female
magaan_van_n,new_earth,single,male
mammoth_mutt,krypto_the_superdog,single,female
manny,arrowverse,single,male
mano,scooby_doo_team_up,single,male
mar_novu,arrowverse,widowed,male
mar_novu,sixth_dimension,single,male
mar_i_grayson,earth_22,married,female
marij_n_bek,new_earth,married,female
markot_five,new_earth,single,male
marya_pai,pre_zero_hour,single,female
massacre,new_earth,single,male
matris_ater_clementia,new_earth,single,female
maxima,dcau,single,female
maxima,new_earth,single,female
maxima,prime_earth,single,female
maxima_ii,prime_earth,single,female
medphyll,new_earth,single,male
mera,new_earth,married,female
meta_ulnoor,pre_zero_hour,single,female
metatron,new_earth,single,male
mictlantecuhtli,new_earth,married,male
mikaal_tomas,scooby_doo_team_up,single,male
miss_tribb,new_earth,single,female
mister_mind,new_earth,single,male
mnemoth,arrowverse,single,male
mobius,sixth_dimension,single,male
mogo,emerald_knights,single,male
mogo,green_lantern_animated_series,single,male
mogo,new_earth,single,male
mogo,prime_earth,single,genderless
mogo,the_brave_and_the_bold,single,male
mongal,new_earth,single,female
mongal,the_brave_and_the_bold,single,female
mongul,dcau,single,male
mongul,earth_one,divorced,male
mongul,superman_returns,single,male
mongul,world_without_young_justice,single,male
mongul_i,new_earth,single,male
mongul_ii,new_earth,single,male
monitor,earth_one,single,male
moose,new_earth,single,male
mordecai_shaw,wildstorm_universe,single,male
morphea,atari_force,single,female
mother_zed,new_earth,single,female
murl_wazzo,post_zero_hour,married,male
myrrt,new_earth,single,male
nautkeloi,new_earth,single,male
nimbus,new_earth,single,male
nix_uotan,infinite_crisis_video_game,single,male
norchavius,new_earth,single,male
norfulthing,new_earth,single,male
nura_nal,post_rebirth,single,female
nura_nal,pre_zero_hour,single,female
nyorlath,justice_league_action,single,male
oaa_tseldor,pre_zero_hour,single,male
oho_besh,new_earth,single,male
omar_magz,post_zero_hour,single,male
ontiir,pre_zero_hour,single,male
osira,new_earth,widowed,female
osiris,prime_earth,married,male
overmaster,new_earth,single,male
pathavim_seth_ottarak,new_earth,single,male
paw_pooch,krypto_the_superdog,single,male
pazuzu,arrowverse,single,male
penelops,emerald_knights,single,male
penelops,new_earth,single,male
peraxxus,prime_earth,single,male
perrilus,prime_earth,single,female
persuader,legion_of_super_heroes_tv_series,single,male
pol_krinn,pre_zero_hour,single,male
primaa,prime_earth,single,female
